	group_name	protein_count	species_count	functional_category	functional_description	metagenome_sample_count	asf_species
88	ENOG4108BBK	4	4	V		3	A356
89	ENOG4108TVT	47	44	EG	permease	11	A500
90	ENOG4108TVB	37	25	L	site-specific recombinase, phage integrase family	15	A519
91	ENOG4108TV6	8	7	S		9	A457
92	ENOG4106W75	4	4	S		11	A492
93	ENOG4105ZF4	17	17	S	Inherit from COG: Fe-S-cluster oxidoreductase	1	A457
94	ENOG4105ZF3	96	92	S	flagellar protein	13	A492
95	ENOG4105Z00	26	25	S		13	A502
96	ENOG4105Z01	60	55	K	transcriptional regulator	15	A502
97	ENOG410737D	2	2	S	PEP-CTERM motif	2	A356
98	ENOG410737Z	16	12	S		10	A360
99	ENOG4108K5A	12	12	S	Tetratricopeptide TPR_1 repeat-containing protein	12	A457
100	ENOG4108K5S	68	66	S	domain protein	15	A519
101	ENOG4108K5R	11	11	S		14	A492
102	ENOG4108K5X	116	114	S	ABC, transporter	11	A361
103	ENOG4108K54	20	20	S	Nb031 nematoblast specific protein	11	A519
104	ENOG4108K56	11	11	K	regulatoR	3	A360
105	ENOG4106MYJ	2	2	S	Tubulin/FtsZ family, GTPase domain	9	A492
106	ENOG4106MY0	3	3	S		11	A519
107	ENOG4105NVA	3	3	S		6	A502
108	ENOG4108DPF	4	4	C	rubredoxin	5	A492
109	ENOG41086WP	9	9	H	Thiamine biosynthesis protein thiS	10	A492
110	ENOG41086WV	21	21	S	sporulation protein YqfC	12	A492
111	ENOG41086WW	5	5	P	Heavy-metal-associated domain	12	A361
112	ENOG41086WI	12	12	S		13	A500
113	ENOG41071R5	2	2	S		3	A360
114	ENOG41071R2	4	4	S		5	A500
115	ENOG4105IG6	106	84	L	Phage terminase, large subunit	14	A356
116	ENOG4105IGA	17	13	S	Inherit from NOG: DnaD domain protein	15	A519
117	ENOG4108GUP	3	3	S		2	A356
118	ENOG41082FM	53	50	I	Phosphatase	10	A360
119	ENOG41082FK	35	35	G	phosphoglycerate mutase family protein	11	A519
120	ENOG41082F7	47	46	S	Protein of unknown function (DUF952)	6	A457
121	ENOG4108V4B	149	141	S	ThiJ pfpI	15	A356
122	ENOG410759K	3	3	S		3	A492
123	ENOG4108940	2	2	G	Ribose/Galactose Isomerase	2	A361
124	ENOG4106KS4	34	24	P	Sulfatase	15	A519
125	ENOG4106KS6	5	5	S	Fibrobacter succinogenes major domain (Fib_succ_major)	5	A519
126	ENOG4106KSM	4	4	S		15	A519
127	ENOG4106KSA	6	4	S		13	A519
128	ENOG4105DIW	1184	1146	O	FeS assembly protein SUFB	15	A361
129	ENOG4105DIR	21	21	P	phosphate abc transporter	15	A519
130	ENOG4105DID	52	51	L	DevR family	6	A492
131	ENOG4105DI9	56	52	S	type VI secretion-associated protein, VC_A0119 family	6	A457
132	ENOG4105DI6	18	16	S	oxidoreductase	14	A519
133	ENOG4106BGZ	6	6	S		14	A500
134	ENOG4107XCB	2	2	V	Beta-lactamase	3	A360
135	ENOG4107XCT	17	14	S	Regulatory protein, P-II	13	A500
136	ENOG4108JEW	4	4	L	Pfam:Phage_integr_N	10	A361
137	ENOG4108JEG	150	134	Q	abc transporter atp-binding protein	15	A519
138	ENOG4106DCX	6	6	S	Abortive infection protein	5	A457
139	ENOG4106372	21	21	S	Protein of unknown function (DUF975)	12	A492
140	ENOG4108XSA	31	31	S		14	A492
141	ENOG4107R41	23	23	V	type I restriction enzyme	14	A502
142	ENOG4107R4G	47	46	M	penicillin-binding protein	14	A457
143	ENOG4106SP4	5	5	O	FKBP-type peptidyl-prolyl cis-trans isomerase (Trigger factor)	10	A492
144	ENOG4106SPP	5	5	T	Response regulator receiver	4	A360
145	ENOG4106SPH	7	5	S		15	A519
146	ENOG4106SPB	14	13	S		13	A519
147	ENOG4105NC5	16	13	S	Protein of unknown function DUF126	6	A500
148	ENOG4105NC7	16	15	S		13	A492
149	ENOG4108HDP	12	12	L	DNA polymerase iii	12	A492
150	ENOG4108Y2E	12	7	S	Putative transposase, YhgA-like	13	A502
151	ENOG4108Y2B	9	9	S	Ethanolamine utilisation protein EutQ	4	A492
152	ENOG4108Y2M	3	3	S		5	A519
153	ENOG4105C2F	1372	490	T	Histidine kinase	14	A492
154	ENOG4105C2C	1429	843	P	drug resistance transporter, Bcr CflA	15	A519
155	ENOG4105C2A	228	127	S	tonB-dependent receptor plug	15	A519
156	ENOG4105C2I	593	524	S	pirin domain protein	12	A519
157	ENOG4105C27	2038	131	P	TonB-dependent Receptor Plug	15	A519
158	ENOG4105Q51	107	100	M	Glycosyl transferase (Group 1	15	A519
159	ENOG4105Q5J	20	18	K	Transcriptional regulator	8	A492
160	ENOG4108PSM	117	114	S	Zn-ribbon protein possibly nucleic acid-binding	6	A356
161	ENOG4108PSV	50	50	H	Pantothenate kinase	13	A519
162	ENOG4108PSX	11	11	S		10	A356
163	ENOG4108PS3	26	26	S	tetratricopeptide repeat	15	A519
164	ENOG41076DU	4	3	M	acid-soluble spore protein P	3	A356
165	ENOG4108KNJ	72	65	M	Rhamnan synthesis protein F	13	A457
166	ENOG4107YP1	12	11	L	SCCmec staphylococcal cassette region, isolate CMFT106	12	A502
167	ENOG4107YP3	60	46	S	virulence-like protein	13	A492
168	ENOG4107YPC	118	116	S	WbqC-like	15	A519
169	ENOG4106J72	7	6	S		9	A492
170	ENOG4106HSW	5	5	S		8	A492
171	ENOG4106HSH	7	7	L		14	A492
172	ENOG4107T62	9	9	M	Glycosyl transferase (Group 1	10	A519
173	ENOG4107T60	152	90	S	oxidoreductase	8	A502
174	ENOG4106YCH	15	15	S		1	A502
175	ENOG4106YCT	30	30	C	V-type ATPase, D subunit	15	A519
176	ENOG4107T6X	91	91	E	nag kinase	15	A519
177	ENOG4107T6V	319	287	C	glycerophosphoryl diester phosphodiesterase	11	A492
178	ENOG4107T6G	38	36	S	Acyl-coenzyme A 6-aminopenicillanic acid acyl-transferase	10	A500
179	ENOG4106MD1	2	2	S		6	A519
180	ENOG4106A77	7	7	S		4	A356
181	ENOG4108PC5	15	15	S	lipoprotein, protein	4	A457
182	ENOG4108PC7	19	15	S		4	A492
183	ENOG4107SKS	135	110	F	5'-nucleotidase	14	A500
184	ENOG4108DMV	4	4	S	Carboxymuconolactone decarboxylase family	7	A457
185	ENOG410868W	7	7	M	Glycosyl transferase (Group 1	6	A519
186	ENOG4108ZYT	41	40	S		9	A492
187	ENOG4108ZY0	177	152	S	Glyoxalase Bleomycin resistance protein (Dioxygenase	3	A360
188	ENOG410671Q	9	9	S		13	A502
189	ENOG410629E	3	3	S		8	A500
190	ENOG41075NJ	3	3	S		14	A519
191	ENOG41075NS	3	3	S		3	A502
192	ENOG41090JN	112	111	H	Converts the free carboxyl group of a malonyl-thioester to its methyl ester by transfer of a methyl group from S-adenosyl- L-methionine (SAM). It allows to synthesize pimeloyl-ACP via the fatty acid synthetic pathway (By similarity)	15	A519
193	ENOG410629R	3	3	N	Flagella basal body P-ring formation protein FlgA	6	A457
194	ENOG4106W9C	2	2	S		12	A492
195	ENOG4106UAV	7	7	S		6	A502
196	ENOG41070E5	35	35	S		15	A500
197	ENOG4106UA3	9	9	S		14	A519
198	ENOG4105HT4	49	48	S		2	A519
199	ENOG4105HTU	9	8	S		7	A360
200	ENOG4107QMT	12	12	M	3D domain	13	A519
201	ENOG4107QMP	882	873	L	dna polymerase iii subunits gamma and tau	15	A500
202	ENOG4107QM6	17	17	G	fructose-bisphosphate aldolase	3	A361
203	ENOG4107QM4	6	6	E	Aldolase	15	A519
204	ENOG4107QM9	1083	1056	I	Component of the acetyl coenzyme A carboxylase (ACC) complex. First, biotin carboxylase catalyzes the carboxylation of biotin on its carrier protein (BCCP) and then the CO(2) group is transferred by the carboxyltransferase to acetyl-CoA to form malonyl-CoA (By similarity)	14	A356
205	ENOG4108QKP	3	3	S	Membrane transport protein	7	A361
206	ENOG4108QK0	105	46	L	transposase	14	A502
207	ENOG4108C8Z	55	50	S		14	A502
208	ENOG4105J59	40	36	S		13	A500
209	ENOG4105J51	31	30	S	Nitroreductase	10	A356
210	ENOG41073XV	5	4	S		13	A500
211	ENOG4105VD0	49	46	S	acetyltransferase, (GNAT) family	11	A492
212	ENOG4108G31	3	3	S		4	A519
213	ENOG4106CPB	6	6	U	Prokaryotic N-terminal methylation motif	2	A360
214	ENOG4106A8V	122	83	D	Protein CrcB homolog	5	A360
215	ENOG4105NV1	19	17	S	Acyltransferase family	12	A492
216	ENOG4105NV6	24	24	J	An accessory protein needed during the final step in the assembly of 30S ribosomal subunit, possibly for assembly of the head region. Probably interacts with S19. Essential for efficient processing of 16S rRNA. May be needed both before and after RbfA during the maturation of 16S rRNA. It has affinity for free ribosomal 30S subunits but not for 70S ribosomes (By similarity)	13	A519
217	ENOG4108VI9	16	13	S	Endonuclease Exonuclease phosphatase	14	A519
218	ENOG4108VI5	162	136	S	type VI secretion protein	8	A457
219	ENOG4108VII	14	13	S		10	A502
220	ENOG4108VIK	124	123	V	type I restriction enzyme	15	A519
221	ENOG4108VIV	6	5	G	Alpha_L_fucos	10	A519
222	ENOG4106T6I	25	19	S	conjugative transposon protein TraF	14	A519
223	ENOG4106T69	10	10	S	Copper amine oxidase	9	A356
224	ENOG4107VXB	30	26	M	Phospholipase	14	A519
225	ENOG41083SR	38	33	L	Transposase	15	A502
226	ENOG41083SM	4	4	J	An accessory protein needed during the final step in the assembly of 30S ribosomal subunit, possibly for assembly of the head region. Probably interacts with S19. Essential for efficient processing of 16S rRNA. May be needed both before and after RbfA during the maturation of 16S rRNA. It has affinity for free ribosomal 30S subunits but not for 70S ribosomes (By similarity)	7	A457
227	ENOG41083S7	82	80	N	flagellar protein FlaG	13	A492
228	ENOG4107U40	140	139	M	Rod shape-determining protein mreC	15	A519
229	ENOG4105WS3	3	3	S	Bacterial SH3 domain	7	A457
230	ENOG41089VS	2	2	S	Uncharacterized protein conserved in bacteria (DUF2225)	13	A492
231	ENOG4105UQG	37	34	S		14	A500
232	ENOG4106R8T	2	2	S		14	A500
233	ENOG4108UTX	11	9	S		10	A361
234	ENOG4108UTU	22	22	T	response regulator	13	A502
235	ENOG4108UTJ	5	4	S		10	A519
236	ENOG4108UT6	51	46	S	Transferase hexapeptide repeat containing protein	11	A500
237	ENOG4108Z2Y	39	37	K	Tetr family transcriptional regulator	4	A457
238	ENOG4108Z23	62	50	K	Transcriptional regulator, TetR family	14	A502
239	ENOG4106IXV	8	7	S		12	A492
240	ENOG4106IXR	2	2	S		9	A502
241	ENOG4106IXH	2	2	T	BTAD	2	A502
242	ENOG4108GR4	15	15	G	protein TIM barrel	11	A519
243	ENOG4108ERQ	3	3	V	ABC transporter	10	A502
244	ENOG4106T4H	2	2	T	Stage II sporulation protein E (SpoIIE)	2	A519
245	ENOG4107Z8K	25	25	H	adenosyl cobinamide kinase adenosyl cobinamide phosphate	14	A457
246	ENOG4105HCZ	81	80	S		14	A519
247	ENOG4107QZC	152	136	M	Transfers the N-acyl diglyceride group on what will become the N-terminal cysteine of membrane lipoproteins (By similarity)	15	A519
248	ENOG4107QZ1	44	43	C	phosphate acetyltransferase	13	A457
249	ENOG4108784	20	20	J	2'-5' rna ligase	4	A457
250	ENOG4106QMR	6	6	S		3	A360
251	ENOG4106ZXM	9	9	S		9	A502
252	ENOG4106ZX3	330	273	P	phosphonate ABC transporter, periplasmic phosphonate-binding protein	9	A360
253	ENOG4105YEM	4	4	S		6	A502
254	ENOG4105DKF	398	339	H	Catalyzes the radical-mediated transfer of the hydroxybenzyl group from 4-hydroxyphenylpyruvate (HPP) to 5-amino- 6-ribitylamino-2,4(1H,3H)-pyrimidinedione to form 7,8-didemethyl- 8-hydroxy-5-deazariboflavin (FO) (By similarity)	13	A457
255	ENOG4105DKE	98	93	L	DNA helicase	15	A519
256	ENOG4105CMV	1188	1078	C	Succinyl-CoA synthetase subunit beta	10	A519
257	ENOG4105CMN	271	267	I	Methylmalonyl-coA mutase	15	A519
258	ENOG4105CMK	130	81	S	peptidase m56	15	A519
259	ENOG4105CMA	280	186	U	conjugation trbi family protein	8	A457
260	ENOG4105CM7	72	60	S	Membrane	12	A502
261	ENOG4106CKV	56	45	S	Pap2 superfamily protein	13	A519
262	ENOG4106583	9	9	S	Protein of unknown function (DUF2846)	8	A500
263	ENOG4106587	14	13	S		5	A360
264	ENOG4108VRD	52	52	K	transcriptional regulator, luxR family	14	A519
265	ENOG4108VRW	26	24	S	ABC transporter, ATP-binding protein-related protein	15	A519
266	ENOG4106NZH	2	2	S		15	A519
267	ENOG410812J	8	8	S	Methyltransferase, type 11	2	A492
268	ENOG4108D80	3	3	S	Tetratricopeptide repeat	9	A356
269	ENOG4106PRR	2	2	L	Phage integrase family	7	A492
270	ENOG4106PRT	3	3	S	Cyclic nucleotide-binding domain	14	A519
271	ENOG4106PRD	2	2	S	tetratricopeptide tpr_2 repeat protein	5	A492
272	ENOG4108FP2	18	16	M	teichoic acid biosynthesis protein X	7	A492
273	ENOG4108FPS	3	3	V	Peptidase C39 family	13	A360
274	ENOG4108FPN	65	38	L	Integrase	14	A502
275	ENOG4108FPF	11	10	K	anti-repressor	15	A492
276	ENOG4105GC5	32	26	S	Alpha1,3-fucosyltransferase	14	A519
277	ENOG4105GC7	80	61	G	phosphoglycerate mutase	14	A361
278	ENOG4105GC0	8	8	S	Methyltransferase domain	12	A492
279	ENOG4105GCE	14	12	E	Amino acid ABC transporter substrate-binding protein	3	A502
280	ENOG4105GCC	112	102	K	Transcriptional regulator, GntR family	14	A502
281	ENOG4105GCM	25	22	S	Transcriptional regulator	15	A519
282	ENOG4105GCN	14	13	S	Membrane	14	A519
283	ENOG4107EXP	3	3	S	YolD-like protein	2	A492
284	ENOG4108ZG0	611	565	M	Ompa motb domain protein	15	A519
285	ENOG41083US	6	6	S	phosphodiesterase, mj0936 family	5	A457
286	ENOG4105VIE	979	963	U	preprotein translocase, subunit YajC	14	A457
287	ENOG41063BF	31	30	O	META domain protein	15	A519
288	ENOG41063BN	29	29	S		15	A519
289	ENOG41063BT	13	10	S	Bacteriophage peptidoglycan hydrolase 	10	A502
290	ENOG4107176	5	5	S		10	A356
291	ENOG4106F8F	5	3	E	nitrogen regulatory protein P-II	2	A492
292	ENOG4107M1J	2	2	S		10	A492
293	ENOG410779U	3	3	S		8	A492
294	ENOG4107G0K	2	2	S	Tetratricopeptide repeat	3	A492
295	ENOG4105YMB	50	34	S		8	A500
296	ENOG4105YMR	55	55	S		7	A519
297	ENOG4105YMS	20	18	S	excisionase	14	A519
298	ENOG4106U24	2	2	S		10	A502
299	ENOG41082BK	41	41	I	PAP2 Family	12	A492
300	ENOG4108Q8R	17	17	S	Competence protein	3	A360
301	ENOG4108Q82	11	9	S	Methyl-accepting chemotaxis	13	A492
302	ENOG4108EMD	4	4	S	oxidoreductase Domain protein	13	A502
303	ENOG4109044	25	17	M	Glycosyl Transferase	12	A492
304	ENOG410904V	9	9	S		12	A492
305	ENOG410904K	7	7	S		10	A457
306	ENOG410904N	73	71	S	short-chain dehydrogenase reductase	4	A492
307	ENOG4107ZGI	6	6	S	Domain of unknown function (DUF1768)	10	A502
308	ENOG4107ZGD	30	30	S	YGGT family	4	A457
309	ENOG4105T33	12	12	S	Outer membrane efflux protein	12	A519
310	ENOG4105T3R	8	8	S		7	A502
311	ENOG4105RWF	67	50	M	major outer membrane protein OmpA	15	A519
312	ENOG4105RWP	9	9	S		13	A519
313	ENOG4105RWS	201	184	L	endonuclease I	11	A457
314	ENOG41062QT	4	4	S	Inherit from NOG: peptidase m28	3	A519
315	ENOG41062QN	4	4	S	Nucleotidyltransferase domain	9	A492
316	ENOG41076M8	2	2	S		5	A360
317	ENOG4106S8U	3	3	E	The alpha subunit is responsible for the aldol cleavage of indoleglycerol phosphate to indole and glyceraldehyde 3- phosphate (By similarity)	4	A502
318	ENOG4106S8F	3	3	S		6	A519
319	ENOG4106S8H	6	6	S		5	A502
320	ENOG4106QPA	20	20	S		5	A457
321	ENOG4106ZMY	6	6	S		5	A500
322	ENOG4106ZM6	2	2	S		8	A356
323	ENOG4107UFT	5	5	M	Glycosyl transferase family 2	10	A492
324	ENOG4107UFN	29	24	C	4Fe-4S Ferredoxin, iron-sulfur binding domain protein	5	A457
325	ENOG4107UFI	6	6	G	HAD-superfamily hydrolase subfamily IA variant 3	4	A356
326	ENOG41079AA	3	3	S		4	A492
327	ENOG4105CZX	1000	714	NU	twitching motility protein	14	A502
328	ENOG4105CZH	267	161	S	peptidase	15	A519
329	ENOG4105CZD	270	235	C	Thiol oxidoreductase	11	A519
330	ENOG4105CZ7	232	228	S	nitrilase cyanide hydratase and apolipoprotein n-acyltransferase	15	A519
331	ENOG4107PM3	3	3	S	Inherit from NOG: Sporozoite surface protein 2	10	A502
332	ENOG4107PM0	2	2	S		10	A492
333	ENOG41085DB	5	5	U	Part of the twin-arginine translocation (Tat) system that transports large folded proteins containing a characteristic twin-arginine motif in their signal peptide across membranes. TatA could form the protein-conducting channel of the Tat system (By similarity)	8	A457
334	ENOG41085DP	7	7	S	Acetyltransferase (GNAT) family	3	A360
335	ENOG41085D1	16	16	J	50S ribosomal protein L32	7	A356
336	ENOG41065W6	4	4	S	Inherit from NOG: DoxX	3	A519
337	ENOG41065W4	53	30	C	chlorophyll a b binding light harvesting protein	3	A492
338	ENOG4105FVT	78	63	S	Transposition protein	14	A492
339	ENOG4107V2X	26	25	G	Major Facilitator	12	A500
340	ENOG4107V2F	7	7	L	Group II intron, maturase-specific domain	15	A519
341	ENOG4105SD1	10	4	S	Protein of unknown function (DUF3558)	6	A519
342	ENOG4105SDS	5	5	P	tonB-dependent receptor plug	15	A519
343	ENOG4107B7A	2	2	S		1	A356
344	ENOG4107B7M	24	22	S	Phage-related protein	4	A492
345	ENOG4105FV2	175	136	S	Membrane	15	A519
346	ENOG4107KV4	2	2	S		6	A500
347	ENOG4108WI1	153	151	L	Dna topoisomerase	13	A360
348	ENOG4108WIQ	118	108	S	phosphoesterase PA-phosphatase related protein	15	A519
349	ENOG4107V47	2	2	O	Peptidase M16 inactive domain	7	A360
350	ENOG41063U3	9	9	N	Flagellar biosynthesis protein, FliO	9	A492
351	ENOG41063UR	9	9	S		5	A457
352	ENOG41084WE	9	9	H	4'-phosphopantetheinyl transferase superfamily	9	A500
353	ENOG41084W2	54	54	S	Membrane	6	A361
354	ENOG41084W3	9	8	S	Addiction module toxin, Txe YoeB family	12	A519
355	ENOG41077RG	2	2	S	Ribbon-helix-helix protein, copG family	12	A502
356	ENOG4105KGR	31	23	S	peptidase, S41	13	A356
357	ENOG41072EB	2	2	S		6	A457
358	ENOG4107D5A	2	2	S		3	A492
359	ENOG41080V1	6	6	S	sporulation factor SpoIIGA	6	A500
360	ENOG41080VK	103	89	P	domain protein	15	A457
361	ENOG41080VW	13	12	S	acetyltransferase	2	A519
362	ENOG410822I	185	179	N	Flagellar hook capping protein	13	A492
363	ENOG410822T	7	7	J	Methylates ribosomal protein L11 (By similarity)	8	A457
364	ENOG4108225	99	91	P	domain protein	13	A492
365	ENOG4107SUC	45	44	S	TPR repeat-containing protein	14	A500
366	ENOG4107SU2	34	29	S	methyltransferase	14	A502
367	ENOG4107SU8	58	54	S	oxidoreductase	13	A519
368	ENOG4108S7R	17	14	V	ABC transporter, permease	15	A519
369	ENOG4108S7Z	41	39	S		10	A519
370	ENOG4108E8A	81	71	G	ABC transporter (Permease	13	A500
371	ENOG4107TGE	66	63	E	l-asparaginase (EC 3.5.1.1)	9	A361
372	ENOG4107TG1	51	46	C	oxidoreductase	1	A502
373	ENOG4106EK9	48	48	O	Peptidyl-prolyl cis-trans isomerase	15	A519
374	ENOG4106EK8	6	5	S		3	A360
375	ENOG4106EK2	3	3	S	Protein of unknown function (DUF3343)	8	A500
376	ENOG4107ZRA	34	33	S	Abortive infection protein	14	A519
377	ENOG4108FFR	3	3	S		7	A500
378	ENOG4105RBS	26	24	S	YGGT family	5	A356
379	ENOG4105RBT	3	3	S		9	A500
380	ENOG4108XZ3	99	91	L	Site-specific tyrosine recombinase, which acts by catalyzing the cutting and rejoining of the recombining DNA molecules. Essential to convert dimers of the bacterial chromosome into monomers to permit their segregation at cell division (By similarity)	8	A360
381	ENOG4108AA8	2	2	K		2	A502
382	ENOG4108NGT	65	55	G	binding-protein-dependent transport systems inner membrane Component	12	A492
383	ENOG4106APC	8	8	S		14	A502
384	ENOG4106G8Y	3	3	S		10	A492
385	ENOG4106G8C	7	5	S		5	A457
386	ENOG4108HY1	34	32	S	rhodanese domain-containing protein	11	A492
387	ENOG4108HYG	72	70	K	acetyltransferase	15	A502
388	ENOG4108UR9	26	25	S		15	A519
389	ENOG4108MZX	21	21	M	Glycosyl Transferase	13	A502
390	ENOG4108MZ5	12	12	S	Phage capsid family 	11	A500
391	ENOG4108KQ0	35	9	L	ISCb1g3, transposase	14	A492
392	ENOG4107PXF	2	2	S	Rdx family	6	A492
393	ENOG4107PX8	2	2	S	Carbon-nitrogen hydrolase	8	A519
394	ENOG4108R80	550	526	P	One of the components of the high-affinity ATP-driven potassium transport (or KDP) system, which catalyzes the hydrolysis of ATP coupled with the exchange of hydrogen and potassium ions. The C subunit may be involved in assembly of the KDP complex (By similarity)	10	A519
395	ENOG4108UC9	10	10	M	glycosyl transferase, family 9	8	A457
396	ENOG41065B4	30	22	S	heparinase II III family protein	13	A519
397	ENOG4106VI8	2	2	S		10	A502
398	ENOG4106VI4	34	32	S	repeat protein	9	A356
399	ENOG4106VIC	2	2	S		12	A500
